job_id,agency,#_of_positions,business_title,level,job_category,career_level,salary_range_from,salary_range_to,salary_frequency,preferred_skills,posting_date,post_until
534519,dept of environment protection,2,region supervisor,00,engineering architecture planning,experienced nonmanager,53702.0,148745.0,annual,must have a valid pe license,2022-08-06,
628158,bronx district attorney,2,intelligence analyst,00,communications intergovernmental affairs technology data innovation legal affairs policy research analysis public safety inspections enforcement,experienced nonmanager,60000.0,60000.0,annual,,,2025-02-26
588487,bronx district attorney,70,law school summer intern 2024,00,constituent services community programs communications intergovernmental affairs legal affairs policy research analysis public safety inspections enforcement,student,18.83,18.83,hourly,,,2024-06-28
618692,nyc employees retirement sys,1,senior server and application administrator,02,technology data innovation policy research analysis,experienced nonmanager,85371.0,98177.0,annual,the candidate must have excellent customer service and communications oral and written skills minimum of seven 7 years of experience working in an it infrastructure team supporting roughly 600 users,2023-04-12,
633647,housing preservation dvlpmnt,2,hearing officer,02,legal affairs,entrylevel,89753.0,89753.0,annual,,,2024-05-17
594462,department of transportation,1,assistant electrical engineer,00,engineering architecture planning,experienced nonmanager,62370.0,93587.0,annual,,,
627775,hradept of social services,1,data control supervisor,02,administration human resources social services,entrylevel,57976.0,66672.0,annual,well organized leadershipsupervisory skills knowledge of wms good computer skills microsoft office word excel and outlook,,
617865,hradept of social services,1,agency attorney interne,00,legal affairs social services,experienced nonmanager,68183.0,78411.0,annual,prior litigation experience strong oral and written advocacy skills jd required nys bar admitted or pending admission after passing nys bar exam,,
630529,dept of environment protection,1,hydrometeorologist,03,engineering architecture planning,experienced nonmanager,64137.0,98017.0,annual,,,2024-05-24
634197,dept of healthmental hygiene,2,ocme summer college intern,00,administration human resources,student,15.0,17.5,hourly,,,2024-06-01
617126,hradept of social services,1,clerical supervisor,01,administration human resources social services,entrylevel,47418.0,54531.0,annual,,,
615102,hradept of social services,11,medicaid helpline agent,02,constituent services community programs social services,experienced nonmanager,41248.0,47435.0,annual,,2023-06-11,
591481,dept of environment protection,1,machinists helper,00,building operations maintenance,entrylevel,35.21,40.97,hourly,,,
634342,dept of parks recreation,1,project development coordinator for ocean breeze purchasing,00,constituent services community programs communications intergovernmental affairs,experienced nonmanager,59116.0,91768.0,annual,1bachelors degree 2excellent leadership and communication skills 3proficiency in computer software including microsoft word excel and access 4knowledge of erequester financial management system fms and asset management parks system amps preferred 5valid new york state driver license,,2024-05-10
633081,dept of healthmental hygiene,1,social worker bureau of tuberculosis control,00,health social services,experienced nonmanager,55816.0,55816.0,annual,,,2025-04-16
631818,dept of healthmental hygiene,1,public health clinic nurse parttime bureau of public health clinics,00,health,experienced nonmanager,50.3908,50.3908,hourly,,,2024-07-25
629141,district attorney kings county,1,paralegal,00,legal affairs,experienced nonmanager,48170.0,48170.0,annual,,,2024-05-19
593142,dept of healthmental hygiene,1,pharmacist bureau of public health clinics,m1,constituent services community programs health policy research analysis,experienced nonmanager,58700.0,130000.0,annual,,,2024-07-17
619283,dept of homeless services,3,hotel manager,00,social services,experienced nonmanager,58700.0,192152.0,annual,,2023-12-12,
629672,dept of environment protection,1,accountable manager,03,engineering architecture planning public safety inspections enforcement,experienced nonmanager,98470.0,133496.0,annual,,,
634418,nyc police pension fund,1,pension benefits analyst,00,finance accounting procurement,entrylevel,46059.0,52968.0,annual,excellent analytical communication oral and written and interpersonal skills strong computer skills including fluency with microsoft office word and excel strong mathematical skills,,2024-05-08
633954,dept of environment protection,1,marine engineer diesel,01,building operations maintenance,entrylevel,77587.0,77587.0,annual,,,
550302,dept of environment protection,1,marine engineer,02,engineering architecture planning,experienced nonmanager,83189.0,83189.0,annual,,2022-10-09,
630003,dept of healthmental hygiene,2,asthma counseling specialist bureau of harlem neighborhood health,00,health social services,experienced nonmanager,55816.0,79000.0,annual,,2024-01-04,2025-04-01
602801,nyc employees retirement sys,1,senior server and application administrator,02,technology data innovation policy research analysis,experienced nonmanager,85371.0,98177.0,annual,the candidate must have excellent customer service and communications oral and written skills minimum of seven 7 years experience working in an infrastructure team supporting roughly 500 users,2023-05-09,
632001,office of the comptroller,1,accountant bank reconciliation,01,finance accounting procurement,entrylevel,61206.0,70387.0,annual,excellent interpersonal communication accounting and organizational skills including microsoft office suite proficiency knowledge of generally accepted accounting principles as well as some exposure to financial statement analysis knowledge of the citys financial management system fms preferred,2024-02-04,
625076,dept of healthmental hygiene,1,public health advisor bureau of public health clinics,02,health,experienced nonmanager,51528.0,59257.0,annual,,,2024-05-28
633449,dept of design construction,1,revenue analyst,02,finance accounting procurement,experienced nonmanager,61206.0,70387.0,annual,candidate must have proficiency with ms word and ms excel excellent organizational verbal and written skills knowledge of fms is preferable,,
632509,department of correction,1,special investigation prea unit summer college intern,00,administration human resources public safety inspections enforcement,student,16.0,16.0,hourly,,2024-04-04,2024-06-03
620244,dept of design construction,1,fleet assistant,01,building operations maintenance,experienced nonmanager,47418.0,54531.0,annual,candidates should possess excellent verbal and written skills conflict management skills and handle confidential matters with discretion proficiency in microsoft office is preferred a valid nys drivers license is a must,,
607923,dept of environment protection,2,community coordinator,00,communications intergovernmental affairs,entrylevel,59116.0,91768.0,annual,,,
631129,dept of environment protection,1,chemist,00,engineering architecture planning public safety inspections enforcement,entrylevel,56181.0,68034.0,annual,,,
599248,dept of environment protection,1,payments specialist,02,finance accounting procurement,experienced nonmanager,50972.0,82730.0,annual,proficiency in microsoft office financial management system fms problem solving skills,,
545830,department of correction,4,licensed barber,00,health,entrylevel,35197.0,40477.0,annual,,,
620174,hradept of social services,1,cas regionaladministrative office liaison,03,social services,experienced nonmanager,73213.0,84195.0,annual,,,
620705,hradept of social services,1,director of contracts and compliance,00,policy research analysis,experienced nonmanager,94715.0,94715.0,annual,,,
633040,bronx district attorney,1,it service specialist lv 1,01,technology data innovation legal affairs public safety inspections enforcement,experienced nonmanager,55984.0,56650.0,annual,,2024-10-04,2025-04-10
631489,department of transportation,1,highway repairer,00,building operations maintenance public safety inspections enforcement,experienced nonmanager,380.64,380.64,daily,,,2024-05-14
625134,dept of healthmental hygiene,1,cs case navigator bureau of vital statistics,04,health,experienced nonmanager,43728.0,50000.0,annual,,,2024-05-28
604466,campaign finance board,1,associate counsel,01,legal affairs,experienced nonmanager,90000.0,95000.0,annual,,,
629910,dept of environment protection,1,accountable manager,03,engineering architecture planning public safety inspections enforcement,experienced nonmanager,98470.0,133496.0,annual,,,2024-05-10
628132,dept of healthmental hygiene,1,otps liaison bureau of public health clinics,02,constituent services community programs finance accounting procurement health policy research analysis,experienced nonmanager,55873.0,64254.0,annual,experience working with outlook ms word intermediate excel,,2024-06-27
629898,dept of environment protection,1,accountable manager,03,engineering architecture planning public safety inspections enforcement,experienced nonmanager,98470.0,133496.0,annual,,,2024-05-10
610490,dept of design construction,1,engineerincharge,02,engineering architecture planning,experienced nonmanager,88026.0,101230.0,annual,candidates must have strong supervisory experience and excellent verbal and written communication skills and knowledge of the operations design and construction of the citys infrastructure system knowledge of current and uptodate engineering methods and standards is preferred,2023-06-11,
633271,district attorneymanhattan,2,cybercrime intelligence analyst,00,legal affairs,entrylevel,51712.0,57450.0,annual,,2024-12-04,2024-05-12
629654,dept of environment protection,1,accountable manager,03,engineering architecture planning public safety inspections enforcement,experienced nonmanager,98470.0,133496.0,annual,,,
634630,nyc housing authority,1,caretaker x ha,00,administration human resources building operations maintenance,entrylevel,36006.0,50569.0,annual,,2024-06-05,2024-05-26
573114,dept of environment protection,1,assistant mechanical engineer,00,engineering architecture planning,experienced nonmanager,57078.0,85646.0,annual,,2023-08-02,
591477,dept of design construction,1,deputy director,00,engineering architecture planning,experienced nonmanager,58682.0,134570.0,annual,preference will be given to candidate with strong verbal and written communication skills as well as comprehension of technical designs candidate must also be proficient in microsoft office applications and have knowledge of the preparation of presentation materials,2023-08-08,
552231,dept of environment protection,4,engineering technician iii,03,engineering architecture planning,experienced nonmanager,49003.0,72195.0,annual,proficiency in microsoft office suite and arcgis software,,
632183,dept of healthmental hygiene,2,public health technician bureau of food safety and community sanitation,00,health,experienced nonmanager,38966.0,45015.0,annual,the position draws on technical and scientific skills as well as effective communication skills candidates should have excellent verbal written interpersonal and organizational skills as well as computer skills,2024-02-04,2025-04-02
612424,bronx district attorney,1,human trafficking victims advocate,00,constituent services community programs health legal affairs public safety inspections enforcement social services,experienced nonmanager,67983.0,67983.0,annual,,,2024-10-19
635048,hradept of social services,1,principal payment analystinvoice reports coordinator,03,finance accounting procurement,experienced nonmanager,64137.0,73758.0,annual,experience with accounting software such as microsoft excel experience with fms invoicing and budget management experience working with vendors to rectify invoice issues,2024-02-05,
587604,dept of healthmental hygiene,5,public health advisor i prek team parttime bureau of school health,01,constituent services community programs health,entrylevel,21.41,27.62,hourly,city wide travel is required,,2024-05-17
540287,dept of environment protection,1,machinist,00,building operations maintenance,entrylevel,37.28,37.28,hourly,,,
622069,dept of homeless services,1,jcc manager,00,constituent services community programs social services,experienced nonmanager,64749.0,69826.0,annual,experience working amongst homeless populations knowledge of nys mental health laws position requires extensive field work,2024-05-01,
535001,dept of environment protection,4,assistant civil engineer,00,engineering architecture planning,experienced nonmanager,57078.0,65640.0,annual,,,
631214,housing preservation dvlpmnt,1,nyc 15 project manager,00,constituent services community programs,entrylevel,70000.0,70000.0,annual,,,2024-05-20
617130,hradept of social services,1,executive director of bureau of accounts payable bap,00,finance accounting procurement,executive,102292.0,138754.0,annual,strong managerial background in financial management with extensive experience and thorough knowledge of accounting auditing and banking principles experience and knowledge of developing internal control and accounting systems,,
561633,bronx district attorney,2,therapist,00,constituent services community programs legal affairs public safety inspections enforcement social services,experienced nonmanager,70000.0,70000.0,annual,,,2024-05-17
624908,office of the comptroller,1,claims specialist level iii real property division,03,legal affairs,experienced nonmanager,65709.0,75565.0,annual,,,
634802,hradept of social services,1,senior crpu specialist,02,administration human resources social services,experienced nonmanager,66430.0,99694.0,annual,,,
